Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of G protein-coupled receptor signaling pathway (GO:0008277)	1/82	1.375972e-01	2.003116e-01	0	0	7.013404e+00	1.391056e+01	GRK5
GO_Biological_Process_2021	positive regulation of protein ubiquitination (GO:0031398)	1/82	1.375972e-01	2.003116e-01	0	0	7.013404e+00	1.391056e+01	LRRK2
GO_Biological_Process_2021	epidermis development (GO:0008544)	1/83	1.391559e-01	2.012119e-01	0	0	6.927526e+00	1.366219e+01	LAMA3
GO_Biological_Process_2021	regulation of defense response (GO:0031347)	1/83	1.391559e-01	2.012119e-01	0	0	6.927526e+00	1.366219e+01	APPL1
GO_Biological_Process_2021	negative regulation of defense response (GO:0031348)	1/85	1.422651e-01	2.038182e-01	0	0	6.761905e+00	1.318614e+01	CDH5
GO_Biological_Process_2021	positive regulation of protein phosphorylation (GO:0001934)	2/371	1.434985e-01	2.038182e-01	0	0	3.123705e+00	6.064457e+00	MARCO;LRRK2
GO_Biological_Process_2021	glucose homeostasis (GO:0042593)	1/86	1.438156e-01	2.038182e-01	0	0	6.682017e+00	1.295792e+01	PDK4
GO_Biological_Process_2021	negative regulation of phosphorylation (GO:0042326)	1/86	1.438156e-01	2.038182e-01	0	0	6.682017e+00	1.295792e+01	LRRK2
GO_Biological_Process_2021	positive regulation of proteasomal protein catabolic process (GO:1901800)	1/86	1.438156e-01	2.038182e-01	0	0	6.682017e+00	1.295792e+01	LRRK2
GO_Biological_Process_2021	regulation of neuron death (GO:1901214)	1/86	1.438156e-01	2.038182e-01	0	0	6.682017e+00	1.295792e+01	LRRK2
GO_Biological_Process_2021	negative regulation of angiogenesis (GO:0016525)	1/87	1.453634e-01	2.053318e-01	0	0	6.603987e+00	1.273591e+01	THBS2
GO_Biological_Process_2021	negative regulation of binding (GO:0051100)	1/88	1.469085e-01	2.068317e-01	0	0	6.527750e+00	1.251987e+01	LRRK2
GO_Biological_Process_2021	regulation of type I interferon production (GO:0032479)	1/89	1.484508e-01	2.069608e-01	0	0	6.453247e+00	1.230958e+01	LRRFIP1
GO_Biological_Process_2021	second-messenger-mediated signaling (GO:0019932)	1/89	1.484508e-01	2.069608e-01	0	0	6.453247e+00	1.230958e+01	LRRK2
GO_Biological_Process_2021	protein import (GO:0017038)	1/89	1.484508e-01	2.069608e-01	0	0	6.453247e+00	1.230958e+01	APPL1
GO_Biological_Process_2021	positive regulation of autophagy (GO:0010508)	1/90	1.499905e-01	2.070836e-01	0	0	6.380417e+00	1.210482e+01	LRRK2
GO_Biological_Process_2021	positive regulation of binding (GO:0051099)	1/90	1.499905e-01	2.070836e-01	0	0	6.380417e+00	1.210482e+01	LRRK2
GO_Biological_Process_2021	negative regulation of protein kinase activity (GO:0006469)	1/90	1.499905e-01	2.070836e-01	0	0	6.380417e+00	1.210482e+01	DEPTOR
GO_Biological_Process_2021	positive regulation of cellular component biogenesis (GO:0044089)	1/92	1.530616e-01	2.099692e-01	0	0	6.239560e+00	1.171112e+01	CDH5
GO_Biological_Process_2021	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	1/92	1.530616e-01	2.099692e-01	0	0	6.239560e+00	1.171112e+01	CDH5
GO_Biological_Process_2021	negative regulation of cell death (GO:0060548)	1/94	1.561220e-01	2.134831e-01	0	0	6.104762e+00	1.133726e+01	LRRK2
GO_Biological_Process_2021	regulation of vesicle-mediated transport (GO:0060627)	1/96	1.591716e-01	2.169600e-01	0	0	5.975639e+00	1.098186e+01	LRRK2
GO_Biological_Process_2021	calcium ion homeostasis (GO:0055074)	1/97	1.606924e-01	2.176467e-01	0	0	5.913095e+00	1.081069e+01	CDH5
